date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:24:50	53419/53419	---MCZ	200	added ('OK')	text/html	etag:W/%225e6eb8e6-d0ab%22	http://baha.malyarchuk.space/ind-slider.html	C:/My%20Web%20Sites/portfolio/baha.malyarchuk.space/ind-slider.html	(from )
12:24:50	3791/3791	---MC-	424	error ('Failed%20Dependency')	text/html	date:Wed,%2025%20Nov%202020%2006:54:51%20GMT	http://baha.malyarchuk.space/robots.txt		(from )
12:24:52	140936/140936	---MCZ	200	added ('OK')	text/css	etag:W/%225b6c42e8-22688%22	http://baha.malyarchuk.space/css/plugins/bootstrap.min.css	C:/My%20Web%20Sites/portfolio/baha.malyarchuk.space/css/plugins/bootstrap.min.css	(from http://baha.malyarchuk.space/ind-slider.html)
12:24:52	68242/68242	---MCZ	200	added ('OK')	text/css	etag:W/%225c583dbe-10a92%22	http://baha.malyarchuk.space/css/plugins/font-awesome.css	C:/My%20Web%20Sites/portfolio/baha.malyarchuk.space/css/plugins/font-awesome.css	(from http://baha.malyarchuk.space/ind-slider.html)
12:24:52	8197/8197	---MCZ	200	added ('OK')	text/css	etag:W/%225bdae3fe-2005%22	http://baha.malyarchuk.space/css/plugins/magnific-popup.css	C:/My%20Web%20Sites/portfolio/baha.malyarchuk.space/css/plugins/magnific-popup.css	(from http://baha.malyarchuk.space/ind-slider.html)
12:24:52	3706/3706	---MCZ	200	added ('OK')	text/css	etag:W/%225c63f73e-e7a%22	http://baha.malyarchuk.space/css/plugins/simplebar.css	C:/My%20Web%20Sites/portfolio/baha.malyarchuk.space/css/plugins/simplebar.css	(from http://baha.malyarchuk.space/ind-slider.html)
12:24:52	3351/3351	---MCZ	200	added ('OK')	text/css	etag:W/%225c59d54e-d17%22	http://baha.malyarchuk.space/css/plugins/owl.carousel.min.css	C:/My%20Web%20Sites/portfolio/baha.malyarchuk.space/css/plugins/owl.carousel.min.css	(from http://baha.malyarchuk.space/ind-slider.html)
12:24:52	1013/1013	---M--	200	added ('OK')	text/css	etag:%225c59d55a-3f5%22	http://baha.malyarchuk.space/css/plugins/owl.theme.default.min.css	C:/My%20Web%20Sites/portfolio/baha.malyarchuk.space/css/plugins/owl.theme.default.min.css	(from http://baha.malyarchuk.space/ind-slider.html)
12:24:53	28706/28706	---MCZ	200	added ('OK')	text/css	etag:W/%225c584d5a-7022%22	http://baha.malyarchuk.space/css/plugins/jquery.animatedheadline.css	C:/My%20Web%20Sites/portfolio/baha.malyarchuk.space/css/plugins/jquery.animatedheadline.css	(from http://baha.malyarchuk.space/ind-slider.html)
12:24:53	1506/1506	---M--	200	added ('OK')	text/css	etag:%225d553b60-5e2%22	http://baha.malyarchuk.space/css/settings/left-nav.css	C:/My%20Web%20Sites/portfolio/baha.malyarchuk.space/css/settings/left-nav.css	(from http://baha.malyarchuk.space/ind-slider.html)
12:24:53	55792/55792	---MCZ	200	added ('OK')	text/css	etag:W/%225e6e3ef4-d9f0%22	http://baha.malyarchuk.space/css/style-dark.css	C:/My%20Web%20Sites/portfolio/baha.malyarchuk.space/css/style-dark.css	(from http://baha.malyarchuk.space/ind-slider.html)
12:24:53	45/45	---M--	200	added ('OK')	text/css	etag:%225e6e2345-2d%22	http://baha.malyarchuk.space/css/settings/box/box.css	C:/My%20Web%20Sites/portfolio/baha.malyarchuk.space/css/settings/box/box.css	(from http://baha.malyarchuk.space/ind-slider.html)
